new_scenario,new_mode,new_solve_time_s,new_mipgap_filled,new_feasible,new_objective,new_Tmax,new_client_delay_sum,new_viol_C_sum,new_client_switches,new_n_planes,new_n_jobs,new_n_positions,new_H,new_scenario_type,new_window_tightness,new_n_bin,new_n_vars,new_n_cons,scenario,mode,old_scenario,old_mode,old_solve_time_s,old_mipgap_filled,old_feasible,old_objective,old_Tmax,old_client_delay_sum,old_viol_C_sum,old_client_switches,old_n_planes,old_n_jobs,old_n_positions,old_H,old_scenario_type,old_window_tightness,old_n_bin,old_n_vars,old_n_cons,both_feasible,time_ratio_old_over_new,log_time_ratio,gap_diff_old_minus_new,Tmax_diff_old_minus_new,delay_diff_old_minus_new,violC_diff_old_minus_new,switch_diff_old_minus_new,win_time_new,win_gap_new,win_Tmax_new,win_delay_new,win_violC_new,win_switch_new
scn_custom_many_tight_pl20.xlsx,soft,3716.0,,True,2.128644e+16,88644.0,0.0,0.0,,20.0,35.0,5.0,91298.0,many,tight,,,,scn_custom_many_tight_pl20.xlsx,soft,scn_custom_many_tight_pl20.xlsx,soft,17305.0,,True,,112568.0,0.0,0.0,,20.0,35.0,5.0,112568.0,many,tight,62495.0,62954.0,88702.0,True,4.6568891280947255,1.5383476561357154,,23924.0,0.0,0.0,,True,False,True,False,False,False
scn_custom_many_tight_pl20.xlsx,medium,20199.0,,True,23002128644.0,88644.0,0.0,0.0,23.0,20.0,35.0,5.0,91298.0,many,tight,,,,scn_custom_many_tight_pl20.xlsx,medium,scn_custom_many_tight_pl20.xlsx,medium,45793.0,,True,,112568.0,0.0,0.0,1.0,20.0,35.0,5.0,112568.0,many,tight,65010.0,65469.0,98762.0,True,2.2670924303183324,0.8184981427799554,,23924.0,0.0,0.0,-22.0,True,False,True,False,False,False
scn_custom_many_tight_pl20.xlsx,hard,6422.0,,True,112002129301.0,8930099999999990.0,0.0,0.0,32.0,20.0,35.0,5.0,91298.0,many,tight,,,,scn_custom_many_tight_pl20.xlsx,hard,scn_custom_many_tight_pl20.xlsx,hard,70754.0,,True,,112568.0,0.0,0.0,2.0,20.0,35.0,5.0,112568.0,many,tight,65015.0,65474.0,98767.0,True,11.017440049828714,2.3994794763603364,,-8930099999887422.0,0.0,0.0,-30.0,True,False,False,False,False,False
scn_few-loose_seed10_P3_pl5.xlsx,soft12,0.688,,True,417573.0,37573.0,0.0,0.0,,5.0,14.0,5.0,65039.0,few,loose,,,,scn_few-loose_seed10_P3_pl5.xlsx,soft12,scn_few-loose_seed10_P3_pl5.xlsx,soft12,4291.0,,True,,86569.0,0.0,0.0,,5.0,14.0,5.0,86569.0,few,loose,14697.0,14874.0,19479.0,True,6236.918604651163,8.738241526040317,,48996.0,0.0,0.0,,True,False,True,False,False,False
scn_few-loose_seed10_P3_pl5.xlsx,soft,0.704,,True,417573.0,37573.0,0.0,0.0,,5.0,14.0,5.0,65039.0,few,loose,,,,scn_few-loose_seed10_P3_pl5.xlsx,soft,scn_few-loose_seed10_P3_pl5.xlsx,soft,3428.0,,True,,86569.0,0.0,0.0,,5.0,14.0,5.0,86569.0,few,loose,14697.0,14880.0,19482.0,True,4869.318181818182,8.490709202541765,,48996.0,0.0,0.0,,True,False,True,False,False,False
scn_few-loose_seed10_P3_pl5.xlsx,medium,0.858,,True,423.15,43.15,0.0,0.0,0.0,5.0,14.0,5.0,65039.0,few,loose,,,,scn_few-loose_seed10_P3_pl5.xlsx,medium,scn_few-loose_seed10_P3_pl5.xlsx,medium,3647.0,,True,,86569.0,0.0,0.0,0.0,5.0,14.0,5.0,86569.0,few,loose,14997.0,15180.0,20682.0,True,4250.582750582751,8.354811370302855,,86525.85,0.0,0.0,0.0,True,False,True,False,False,False
scn_few-loose_seed10_P3_pl5.xlsx,hard,0.843,,True,422.8,42.8,0.0,0.0,0.0,5.0,14.0,5.0,65039.0,few,loose,,,,scn_few-loose_seed10_P3_pl5.xlsx,hard,scn_few-loose_seed10_P3_pl5.xlsx,hard,3197.0,,True,,86569.0,0.0,0.0,0.0,5.0,14.0,5.0,86569.0,few,loose,15002.0,15185.0,20687.0,True,3792.408066429419,8.240756470040123,,86526.2,0.0,0.0,0.0,True,False,True,False,False,False
scn_few-loose_seed11_P3_pl5.xlsx,soft12,0.464,,True,356554.0,3655399999999990.0,0.0,0.0,,5.0,9.0,5.0,53888.0,few,loose,,,,scn_few-loose_seed11_P3_pl5.xlsx,soft12,scn_few-loose_seed11_P3_pl5.xlsx,soft12,2755.0,,True,,77588.0,0.0,0.0,,5.0,9.0,5.0,77588.0,few,loose,10092.0,10209.0,13299.0,True,5937.5,8.689043448342897,,-3655399999922402.0,0.0,0.0,,True,False,False,False,False,False
scn_few-loose_seed11_P3_pl5.xlsx,soft,0.441,,True,356554.0,3655399999999990.0,0.0,0.0,,5.0,9.0,5.0,53888.0,few,loose,,,,scn_few-loose_seed11_P3_pl5.xlsx,soft,scn_few-loose_seed11_P3_pl5.xlsx,soft,2918.0,,True,,77588.0,0.0,0.0,,5.0,9.0,5.0,77588.0,few,loose,10092.0,10215.0,13302.0,True,6616.780045351474,8.797364132618021,,-3655399999922402.0,0.0,0.0,,True,False,False,False,False,False
scn_few-loose_seed11_P3_pl5.xlsx,medium,0.438,,True,356554.0,3655399999999990.0,0.0,0.0,0.0,5.0,9.0,5.0,53888.0,few,loose,,,,scn_few-loose_seed11_P3_pl5.xlsx,medium,scn_few-loose_seed11_P3_pl5.xlsx,medium,2732.0,,True,,77588.0,0.0,0.0,0.0,5.0,9.0,5.0,77588.0,few,loose,10222.0,10345.0,13822.0,True,6237.442922374429,8.738325589296371,,-3655399999922402.0,0.0,0.0,0.0,True,False,False,False,False,False
