scenario,mode,status,termination,solve_time_s,mipgap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_jobs,n_planes,n_clients,n_positions,H,model_id,preset,n_vars,n_cons,n_bin,scenario_type,window_tightness,jobs_per_plane_hint,positions_hint,seed,feasible,mipgap_filled
scn_few-loose_seed3_P3_pl5.xlsx,soft,ok,optimal,0.284,,,256.88,2.18799999999999e+16,0.0,0.0,,,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,medium,ok,optimal,0.389,,,256.88,2.18799999999999e+16,0.0,0.0,0.0,,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed3_P3_pl5.xlsx,hard,ok,optimal,0.367,,,256.88,2.18799999999999e+16,0.0,0.0,0.0,0.0,0.0,0.0,235.0,8.0,5.0,3.0,5.0,36841.0,final,,,,,few,loose,3.0,5,3.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,soft12,ok,optimal,0.608,,,361.45,36.45,0.0,0.0,,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,soft,ok,optimal,0.474,,,361.45,36.45,0.0,0.0,,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,medium,ok,optimal,0.565,,,3686299999999990.0,436299999999996.0,0.0,0.0,0.0,,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed4_P3_pl5.xlsx,hard,ok,optimal,0.54,,,361.45,36.45,0.0,0.0,0.0,0.0,0.0,0.0,325.0,10.0,5.0,3.0,5.0,54748.0,final,,,,,few,loose,3.0,5,4.0,True,
scn_few-loose_seed5_P3_pl5.xlsx,soft12,ok,optimal,0.408,,,342.08,32.08,0.0,0.0,,,0.0,0.0,310.0,9.0,5.0,3.0,5.0,51623.0,final,,,,,few,loose,3.0,5,5.0,True,
scn_few-loose_seed5_P3_pl5.xlsx,soft,ok,optimal,0.433,,,342.08,32.08,0.0,0.0,,,0.0,0.0,310.0,9.0,5.0,3.0,5.0,51623.0,final,,,,,few,loose,3.0,5,5.0,True,
scn_few-loose_seed5_P3_pl5.xlsx,medium,ok,optimal,0.417,,,342.08,32.08,0.0,0.0,0.0,,0.0,0.0,310.0,9.0,5.0,3.0,5.0,51623.0,final,,,,,few,loose,3.0,5,5.0,True,
scn_few-loose_seed5_P3_pl5.xlsx,hard,ok,optimal,0.439,,,342.08,32.08,0.0,0.0,0.0,0.0,0.0,0.0,310.0,9.0,5.0,3.0,5.0,51623.0,final,,,,,few,loose,3.0,5,5.0,True,
scn_few-loose_seed6_P3_pl5.xlsx,soft12,ok,optimal,0.542,,,387.32,37.32,0.0,0.0,,,0.0,0.0,350.0,11.0,5.0,3.0,5.0,59941.0,final,,,,,few,loose,3.0,5,6.0,True,
scn_few-loose_seed6_P3_pl5.xlsx,soft,ok,optimal,0.795,,,387.32,37.32,0.0,0.0,,,0.0,0.0,350.0,11.0,5.0,3.0,5.0,59941.0,final,,,,,few,loose,3.0,5,6.0,True,
scn_few-loose_seed6_P3_pl5.xlsx,medium,ok,optimal,0.634,,,387.32,37.32,0.0,0.0,0.0,,0.0,0.0,350.0,11.0,5.0,3.0,5.0,59941.0,final,,,,,few,loose,3.0,5,6.0,True,
scn_few-loose_seed6_P3_pl5.xlsx,hard,ok,optimal,0.591,,,387.32,37.32,0.0,0.0,0.0,0.0,0.0,0.0,350.0,11.0,5.0,3.0,5.0,59941.0,final,,,,,few,loose,3.0,5,6.0,True,
scn_few-loose_seed7_P3_pl5.xlsx,soft12,ok,optimal,0.523,,,341.85,31.85,0.0,0.0,,,0.0,0.0,310.0,11.0,5.0,3.0,5.0,51671.0,final,,,,,few,loose,3.0,5,7.0,True,
scn_few-loose_seed7_P3_pl5.xlsx,soft,ok,optimal,0.468,,,341.85,31.85,0.0,0.0,,,0.0,0.0,310.0,11.0,5.0,3.0,5.0,51671.0,final,,,,,few,loose,3.0,5,7.0,True,
scn_few-loose_seed7_P3_pl5.xlsx,medium,ok,optimal,0.487,,,341.85,31.85,0.0,0.0,0.0,,0.0,0.0,310.0,11.0,5.0,3.0,5.0,51671.0,final,,,,,few,loose,3.0,5,7.0,True,
scn_few-loose_seed7_P3_pl5.xlsx,hard,ok,optimal,0.634,,,343.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,310.0,11.0,5.0,3.0,5.0,51671.0,final,,,,,few,loose,3.0,5,7.0,True,
scn_few-loose_seed8_P3_pl5.xlsx,soft12,ok,optimal,0.427,,,315.55,25.55,0.0,0.0,,,0.0,0.0,290.0,9.0,5.0,3.0,5.0,47597.0,final,,,,,few,loose,3.0,5,8.0,True,
scn_few-loose_seed8_P3_pl5.xlsx,soft,ok,optimal,0.384,,,315.55,25.55,0.0,0.0,,,0.0,0.0,290.0,9.0,5.0,3.0,5.0,47597.0,final,,,,,few,loose,3.0,5,8.0,True,
scn_few-loose_seed8_P3_pl5.xlsx,medium,ok,optimal,0.524,,,315.55,25.55,0.0,0.0,0.0,,0.0,0.0,290.0,9.0,5.0,3.0,5.0,47597.0,final,,,,,few,loose,3.0,5,8.0,True,
scn_few-loose_seed8_P3_pl5.xlsx,hard,ok,optimal,0.439,,,315.55,25.55,0.0,0.0,0.0,0.0,0.0,0.0,290.0,9.0,5.0,3.0,5.0,47597.0,final,,,,,few,loose,3.0,5,8.0,True,
scn_few-loose_seed9_P3_pl5.xlsx,soft12,ok,optimal,0.611,,,393632.0,4.3632e+16,0.0,0.0,,,0.0,0.0,350.0,12.0,5.0,3.0,5.0,59.92,final,,,,,few,loose,3.0,5,9.0,True,
scn_few-loose_seed9_P3_pl5.xlsx,soft,ok,optimal,0.768,,,393632.0,4.3632e+16,0.0,0.0,,,0.0,0.0,350.0,12.0,5.0,3.0,5.0,59.92,final,,,,,few,loose,3.0,5,9.0,True,
scn_few-loose_seed9_P3_pl5.xlsx,medium,ok,optimal,0.588,,,393632.0,4.3632e+16,0.0,0.0,0.0,,0.0,0.0,350.0,12.0,5.0,3.0,5.0,59.92,final,,,,,few,loose,3.0,5,9.0,True,
