scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_custom_many_tight_pl20.xlsx;hard;feasible;ok;optimal;10.442;;112.002.129.301;112.002.129.301;8.930.099.999.999.990;0.0;0.0;32.0;4.0;0.0;0.0;2040.0;35;20;6;5;91.298
scn_few-loose_seed10_P3_pl5.xlsx;soft12;base;ok;optimal;0.681;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft12;fast;ok;optimal;1.063;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft12;feasible;ok;optimal;1.053;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft;base;ok;optimal;0.736;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft;fast;ok;optimal;1.072;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;soft;feasible;ok;optimal;1.072;;417.573;417.573;37.573;0.0;0.0;;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;medium;base;ok;optimal;1.744;;417.573;417.573;37.573;0.0;0.0;0.0;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;medium;fast;ok;optimal;1.096;;417.573;417.573;37.573;0.0;0.0;0.0;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;medium;feasible;ok;optimal;1.201;;417.573;417.573;37.573;0.0;0.0;0.0;;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;hard;base;ok;optimal;1.336;;417.573;417.573;37.573;0.0;0.0;0.0;0.0;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;hard;fast;ok;optimal;1.48;;417.573;417.573;37.573;0.0;0.0;0.0;0.0;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed10_P3_pl5.xlsx;hard;feasible;ok;optimal;1.377;;417.573;417.573;37.573;0.0;0.0;0.0;0.0;0.0;0.0;380.0;14;5;3;5;65.039
scn_few-loose_seed11_P3_pl5.xlsx;soft12;base;ok;optimal;0.406;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft12;fast;ok;optimal;0.622;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft12;feasible;ok;optimal;0.632;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft;base;ok;optimal;0.458;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft;fast;ok;optimal;0.776;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;soft;feasible;ok;optimal;0.634;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;;;0.0;0.0;320.0;9;5;3;5;53.888
scn_few-loose_seed11_P3_pl5.xlsx;medium;base;ok;optimal;0.437;;356.554;356.554;3.655.399.999.999.990;0.0;0.0;0.0;;0.0;0.0;320.0;9;5;3;5;53.888
