scenario;mode;preset;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H;n_vars;n_cons;n_bin
scn_few-loose_seed8_P3_pl5.xlsx;soft12;base;ok;optimal;2.143;;;;69.467;0.0;0.0;;;0.0;0.0;400.0;9;5;3;5;69.467;9369;12259;9252
scn_few-loose_seed8_P3_pl5.xlsx;soft;base;ok;optimal;3.158;;;;69.467;0.0;0.0;;;0.0;0.0;400.0;9;5;3;5;69.467;9375;12262;9252
scn_few-loose_seed8_P3_pl5.xlsx;medium;base;ok;optimal;2.156;;;;69.467;0.0;0.0;0.0;;0.0;0.0;400.0;9;5;3;5;69.467;9490;12722;9367
scn_few-loose_seed8_P3_pl5.xlsx;hard;base;ok;optimal;1.951;;;;69.467;0.0;0.0;0.0;0.0;0.0;0.0;400.0;9;5;3;5;69.467;9495;12727;9372
scn_few-loose_seed9_P3_pl5.xlsx;soft12;base;ok;optimal;2.992;;;;83.15;0.0;0.0;;;0.0;0.0;470.0;12;5;3;5;83.15;12960;16908;12807
scn_few-loose_seed9_P3_pl5.xlsx;soft;base;ok;optimal;2.719;;;;83.15;0.0;0.0;;;0.0;0.0;470.0;12;5;3;5;83.15;12966;16911;12807
scn_few-loose_seed9_P3_pl5.xlsx;medium;base;ok;optimal;3.091;;;;83.15;0.0;0.0;0.0;;0.0;0.0;470.0;12;5;3;5;83.15;13201;17851;13042
scn_few-loose_seed9_P3_pl5.xlsx;hard;base;ok;optimal;3.309;;;;83.15;0.0;0.0;0.0;0.0;0.0;0.0;470.0;12;5;3;5;83.15;13206;17856;13047
scn_few-tight_seed10_P2_pl5.xlsx;soft12;base;ok;optimal;5.723;;;;13.237.099.999.999.900;0.0;0.0;;;0.0;0.0;715.0;19;5;3;5;13.237.099.999.999.900;26274;33869;26037
scn_few-tight_seed10_P2_pl5.xlsx;soft;base;ok;optimal;4.803;;;;13.237.099.999.999.900;0.0;0.0;;;0.0;0.0;715.0;19;5;3;5;13.237.099.999.999.900;26280;33872;26037
scn_few-tight_seed10_P2_pl5.xlsx;medium;base;ok;optimal;5.983;;;;13.237.099.999.999.900;0.0;0.0;0.0;;0.0;0.0;715.0;19;5;3;5;13.237.099.999.999.900;26840;36112;26597
scn_few-tight_seed10_P2_pl5.xlsx;hard;base;ok;optimal;5.634;;;;13.237.099.999.999.900;0.0;0.0;0.0;0.0;0.0;0.0;715.0;19;5;3;5;13.237.099.999.999.900;26845;36117;26602
scn_few-tight_seed11_P2_pl5.xlsx;soft12;base;ok;optimal;4.518;;;;131.139;0.0;0.0;;;0.0;0.0;710.0;15;5;3;5;131.139;21759;27813;21570
scn_few-tight_seed11_P2_pl5.xlsx;soft;base;ok;optimal;4.413;;;;131.139;0.0;0.0;;;0.0;0.0;710.0;15;5;3;5;131.139;21765;27816;21570
scn_few-tight_seed11_P2_pl5.xlsx;medium;base;ok;optimal;6.764;;;;131.139;0.0;0.0;0.0;;0.0;0.0;710.0;15;5;3;5;131.139;22125;29256;21930
scn_few-tight_seed11_P2_pl5.xlsx;hard;base;ok;optimal;5.769;;;;131.139;0.0;0.0;0.0;0.0;0.0;0.0;710.0;15;5;3;5;131.139;22130;29261;21935
scn_few-tight_seed12_P2_pl5.xlsx;soft12;base;ok;optimal;5.772;;;;123.971;0.0;0.0;;;0.0;0.0;670.0;15;5;3;5;123.971;20679;26533;20490
scn_few-tight_seed12_P2_pl5.xlsx;soft;base;ok;optimal;4.678;;;;123.971;0.0;0.0;;;0.0;0.0;670.0;15;5;3;5;123.971;20685;26536;20490
scn_few-tight_seed12_P2_pl5.xlsx;medium;base;ok;optimal;4.898;;;;123.971;0.0;0.0;0.0;;0.0;0.0;670.0;15;5;3;5;123.971;21045;27976;20850
scn_few-tight_seed12_P2_pl5.xlsx;hard;base;ok;optimal;5.107;;;;123.971;0.0;0.0;0.0;0.0;0.0;0.0;670.0;15;5;3;5;123.971;21050;27981;20855
scn_few-tight_seed1_P2_pl5.xlsx;soft12;base;ok;optimal;4.738;;;;117.873;0.0;0.0;;;0.0;0.0;640.0;14;5;3;5;117.873;18904;24284;18727
scn_few-tight_seed1_P2_pl5.xlsx;soft;base;ok;optimal;5.65;;;;117.873;0.0;0.0;;;0.0;0.0;640.0;14;5;3;5;117.873;18910;24287;18727
scn_few-tight_seed1_P2_pl5.xlsx;medium;base;ok;optimal;5.45;;;;117.873;0.0;0.0;0.0;;0.0;0.0;640.0;14;5;3;5;117.873;19210;25487;19027
scn_few-tight_seed1_P2_pl5.xlsx;hard;base;ok;optimal;4.816;;;;117.873;0.0;0.0;0.0;0.0;0.0;0.0;640.0;14;5;3;5;117.873;19215;25492;19032
scn_few-tight_seed2_P2_pl5.xlsx;soft12;base;ok;optimal;5.41;;;;126.628;0.0;0.0;;;0.0;0.0;685.0;16;5;3;5;126.628;22116;28391;21915
scn_few-tight_seed2_P2_pl5.xlsx;soft;base;ok;optimal;4.979;;;;126.628;0.0;0.0;;;0.0;0.0;685.0;16;5;3;5;126.628;22122;28394;21915
scn_few-tight_seed2_P2_pl5.xlsx;medium;base;ok;optimal;5.457;;;;126.628;0.0;0.0;0.0;;0.0;0.0;685.0;16;5;3;5;126.628;22542;30074;22335
scn_few-tight_seed2_P2_pl5.xlsx;hard;base;ok;optimal;5.435;;;;126.628;0.0;0.0;0.0;0.0;0.0;0.0;685.0;16;5;3;5;126.628;22547;30079;22340
