file,mode,solve_time_s,status,termination,gap,best_bound,objective,Tmax,client_delay_sum,viol_C_sum,client_switches,positions_slack_used,switches_slot_sum,presence_sum,idle_sum,n_positions,n_jobs,n_planes,n_clients,H
scn_many-tight_seed102.xlsx,soft,8.067,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.264
scn_many-tight_seed102.xlsx,medium,9.471,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.264
scn_many-tight_seed102.xlsx,hard,8.439,warning,infeasible,,,,,,,,,,,,5.0,71.0,12.0,6.0,40.264
scn_many-tight_seed103.xlsx,soft12,7.699,warning,infeasible,,,,,,,,,,,,5.0,74.0,12.0,6.0,37.232
scn_many-tight_seed103.xlsx,soft,7.474,warning,infeasible,,,,,,,,,,,,5.0,74.0,12.0,6.0,37.232
scn_many-tight_seed103.xlsx,medium,9.805,warning,infeasible,,,,,,,,,,,,5.0,74.0,12.0,6.0,37.232
scn_many-tight_seed103.xlsx,hard,10.074,warning,infeasible,,,,,,,,,,,,5.0,74.0,12.0,6.0,37.232
scn_many-tight_seed104.xlsx,soft12,5.713,warning,infeasible,,,,,,,,,,,,5.0,67.0,12.0,6.0,38.062
scn_many-tight_seed104.xlsx,soft,6.501,warning,infeasible,,,,,,,,,,,,5.0,67.0,12.0,6.0,38.062
scn_many-tight_seed104.xlsx,medium,6.921,warning,infeasible,,,,,,,,,,,,5.0,67.0,12.0,6.0,38.062
scn_many-tight_seed104.xlsx,hard,7.316,warning,infeasible,,,,,,,,,,,,5.0,67.0,12.0,6.0,38.062
scn_many-tight_seed105.xlsx,soft12,7.672,warning,infeasible,,,,,,,,,,,,5.0,78.0,12.0,6.0,38.31
scn_many-tight_seed105.xlsx,soft,7.7,warning,infeasible,,,,,,,,,,,,5.0,78.0,12.0,6.0,38.31
scn_many-tight_seed105.xlsx,medium,9.442,warning,infeasible,,,,,,,,,,,,5.0,78.0,12.0,6.0,38.31
