scenario;mode;status;termination;solve_time_s;mipgap;best_bound;objective;Tmax;client_delay_sum;viol_C_sum;client_switches;positions_slack_used;switches_slot_sum;presence_sum;idle_sum;n_jobs;n_planes;n_clients;n_positions;H
scn_few-loose_seed4_P3_pl5.xlsx;medium;ok;optimal;0.565;;;3.686.299.999.999.990;436.299.999.999.996;0.0;0.0;0.0;;0.0;0.0;325.0;10;5;3;5;54.748
scn_few-loose_seed4_P3_pl5.xlsx;hard;ok;optimal;0.54;;;361.45;36.45;0.0;0.0;0.0;0.0;0.0;0.0;325.0;10;5;3;5;54.748
scn_few-loose_seed5_P3_pl5.xlsx;soft12;ok;optimal;0.408;;;342.08;32.08;0.0;0.0;;;0.0;0.0;310.0;9;5;3;5;51.623
scn_few-loose_seed5_P3_pl5.xlsx;soft;ok;optimal;0.433;;;342.08;32.08;0.0;0.0;;;0.0;0.0;310.0;9;5;3;5;51.623
scn_few-loose_seed5_P3_pl5.xlsx;medium;ok;optimal;0.417;;;342.08;32.08;0.0;0.0;0.0;;0.0;0.0;310.0;9;5;3;5;51.623
scn_few-loose_seed5_P3_pl5.xlsx;hard;ok;optimal;0.439;;;342.08;32.08;0.0;0.0;0.0;0.0;0.0;0.0;310.0;9;5;3;5;51.623
scn_few-loose_seed6_P3_pl5.xlsx;soft12;ok;optimal;0.542;;;387.32;37.32;0.0;0.0;;;0.0;0.0;350.0;11;5;3;5;59.941
scn_few-loose_seed6_P3_pl5.xlsx;soft;ok;optimal;0.795;;;387.32;37.32;0.0;0.0;;;0.0;0.0;350.0;11;5;3;5;59.941
scn_few-loose_seed6_P3_pl5.xlsx;medium;ok;optimal;0.634;;;387.32;37.32;0.0;0.0;0.0;;0.0;0.0;350.0;11;5;3;5;59.941
scn_few-loose_seed6_P3_pl5.xlsx;hard;ok;optimal;0.591;;;387.32;37.32;0.0;0.0;0.0;0.0;0.0;0.0;350.0;11;5;3;5;59.941
scn_few-loose_seed7_P3_pl5.xlsx;soft12;ok;optimal;0.523;;;341.85;31.85;0.0;0.0;;;0.0;0.0;310.0;11;5;3;5;51.671
scn_few-loose_seed7_P3_pl5.xlsx;soft;ok;optimal;0.468;;;341.85;31.85;0.0;0.0;;;0.0;0.0;310.0;11;5;3;5;51.671
scn_few-loose_seed7_P3_pl5.xlsx;medium;ok;optimal;0.487;;;341.85;31.85;0.0;0.0;0.0;;0.0;0.0;310.0;11;5;3;5;51.671
scn_few-loose_seed7_P3_pl5.xlsx;hard;ok;optimal;0.634;;;343.2;33.2;0.0;0.0;0.0;0.0;0.0;0.0;310.0;11;5;3;5;51.671
scn_few-loose_seed8_P3_pl5.xlsx;soft12;ok;optimal;0.427;;;315.55;25.55;0.0;0.0;;;0.0;0.0;290.0;9;5;3;5;47.597
scn_few-loose_seed8_P3_pl5.xlsx;soft;ok;optimal;0.384;;;315.55;25.55;0.0;0.0;;;0.0;0.0;290.0;9;5;3;5;47.597
scn_few-loose_seed8_P3_pl5.xlsx;medium;ok;optimal;0.524;;;315.55;25.55;0.0;0.0;0.0;;0.0;0.0;290.0;9;5;3;5;47.597
scn_few-loose_seed8_P3_pl5.xlsx;hard;ok;optimal;0.439;;;315.55;25.55;0.0;0.0;0.0;0.0;0.0;0.0;290.0;9;5;3;5;47.597
scn_few-loose_seed9_P3_pl5.xlsx;soft12;ok;optimal;0.611;;;393.632;43.632.000.000.000.000;0.0;0.0;;;0.0;0.0;350.0;12;5;3;5;59.92
scn_few-loose_seed9_P3_pl5.xlsx;soft;ok;optimal;0.768;;;393.632;43.632.000.000.000.000;0.0;0.0;;;0.0;0.0;350.0;12;5;3;5;59.92
scn_few-loose_seed9_P3_pl5.xlsx;medium;ok;optimal;0.588;;;393.632;43.632.000.000.000.000;0.0;0.0;0.0;;0.0;0.0;350.0;12;5;3;5;59.92
scn_few-loose_seed9_P3_pl5.xlsx;hard;ok;optimal;0.645;;;393.632;43.632.000.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;350.0;12;5;3;5;59.92
scn_few-tight_seed10_P2_pl5.xlsx;soft12;ok;optimal;1.152;;;700.604;105.604;0.0;0.0;;;0.0;0.0;595.0;19;5;3;5;108.371
scn_few-tight_seed10_P2_pl5.xlsx;soft;ok;optimal;1.127;;;700.604;105.604;0.0;0.0;;;0.0;0.0;595.0;19;5;3;5;108.371
scn_few-tight_seed10_P2_pl5.xlsx;medium;ok;optimal;1.151;;;700.604;105.604;0.0;0.0;0.0;;0.0;0.0;595.0;19;5;3;5;108.371
scn_few-tight_seed10_P2_pl5.xlsx;hard;ok;optimal;1.191;;;700.604;105.604;0.0;0.0;0.0;0.0;0.0;0.0;595.0;19;5;3;5;108.371
scn_few-tight_seed11_P2_pl5.xlsx;soft12;ok;optimal;1.165;;;677.345;102.345;0.0;0.0;;;0.0;575.0;0.0;15;5;3;5;104.659
scn_few-tight_seed11_P2_pl5.xlsx;soft;ok;optimal;0.883;;;677.345;102.345;0.0;0.0;;;0.0;575.0;0.0;15;5;3;5;104.659
scn_few-tight_seed11_P2_pl5.xlsx;medium;ok;optimal;1.027;;;677.345;102.345;0.0;0.0;0.0;;0.0;0.0;575.0;15;5;3;5;104.659
scn_few-tight_seed11_P2_pl5.xlsx;hard;ok;optimal;1.005;;;677.345;102.345;0.0;0.0;0.0;0.0;0.0;0.0;575.0;15;5;3;5;104.659
scn_few-tight_seed12_P2_pl5.xlsx;soft12;ok;optimal;1.032;;;634.729;94.729;0.0;0.0;;;0.0;540.0;0.0;15;5;3;5;97.301
scn_few-tight_seed12_P2_pl5.xlsx;soft;ok;optimal;0.852;;;634.729;94.729;0.0;0.0;;;0.0;540.0;0.0;15;5;3;5;97.301
scn_few-tight_seed12_P2_pl5.xlsx;medium;ok;optimal;1.047;;;634.729;94.729;0.0;0.0;0.0;;0.0;0.0;540.0;15;5;3;5;97.301
scn_few-tight_seed12_P2_pl5.xlsx;hard;ok;optimal;3.712;;;634.729;94.729;0.0;0.0;0.0;0.0;0.0;0.0;540.0;15;5;3;5;97.301
scn_few-tight_seed1_P2_pl5.xlsx;soft12;ok;optimal;0.786;;;610.07;9.007.000.000.000.000;0.0;0.0;;;0.0;520.0;0.0;14;5;3;5;93.703
scn_few-tight_seed1_P2_pl5.xlsx;soft;ok;optimal;0.882;;;610.07;9.007.000.000.000.000;0.0;0.0;;;0.0;520.0;0.0;14;5;3;5;93.703
scn_few-tight_seed1_P2_pl5.xlsx;medium;ok;optimal;1.038;;;610.07;9.007.000.000.000.000;0.0;0.0;0.0;;0.0;0.0;520.0;14;5;3;5;93.703
scn_few-tight_seed1_P2_pl5.xlsx;hard;ok;optimal;1.306;;;610.07;9.007.000.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;520.0;14;5;3;5;93.703
scn_few-tight_seed2_P2_pl5.xlsx;soft12;ok;optimal;1.54;;;646.822;96.822;0.0;0.0;;;0.0;0.0;550.0;16;5;3;5;99.328
scn_few-tight_seed2_P2_pl5.xlsx;soft;ok;optimal;2.018;;;646.822;96.822;0.0;0.0;;;0.0;0.0;550.0;16;5;3;5;99.328
scn_few-tight_seed2_P2_pl5.xlsx;medium;ok;optimal;1.219;;;646.822;96.822;0.0;0.0;0.0;;0.0;0.0;550.0;16;5;3;5;99.328
scn_few-tight_seed2_P2_pl5.xlsx;hard;ok;optimal;1.201;;;646.822;96.822;0.0;0.0;0.0;0.0;0.0;0.0;550.0;16;5;3;5;99.328
scn_few-tight_seed3_P2_pl5.xlsx;soft12;ok;optimal;0.693;;;502.932;72.932;0.0;0.0;;;0.0;430.0;0.0;13;5;3;5;75.761
scn_few-tight_seed3_P2_pl5.xlsx;soft;ok;optimal;0.815;;;502.932;72.932;0.0;0.0;;;0.0;430.0;0.0;13;5;3;5;75.761
scn_few-tight_seed3_P2_pl5.xlsx;medium;ok;optimal;0.985;;;502.932;72.932;0.0;0.0;0.0;;0.0;0.0;430.0;13;5;3;5;75.761
scn_few-tight_seed3_P2_pl5.xlsx;hard;ok;optimal;1.202;;;502.932;72.932;0.0;0.0;0.0;0.0;0.0;0.0;430.0;13;5;3;5;75.761
scn_few-tight_seed4_P2_pl5.xlsx;soft12;ok;optimal;1.158;;;659.18;9.917.999.999.999.990;0.0;0.0;;;0.0;0.0;560.0;17;5;3;5;101.358
scn_few-tight_seed4_P2_pl5.xlsx;soft;ok;optimal;0.926;;;659.18;9.917.999.999.999.990;0.0;0.0;;;0.0;0.0;560.0;17;5;3;5;101.358
scn_few-tight_seed4_P2_pl5.xlsx;medium;ok;optimal;1.078;;;659.18;9.917.999.999.999.990;0.0;0.0;0.0;;0.0;0.0;560.0;17;5;3;5;101.358
scn_few-tight_seed4_P2_pl5.xlsx;hard;ok;optimal;1.011;;;659.18;9.917.999.999.999.990;0.0;0.0;0.0;0.0;0.0;0.0;560.0;17;5;3;5;101.358
scn_few-tight_seed5_P2_pl5.xlsx;soft12;ok;optimal;1.869;;;605.177;90.177;0.0;0.0;;;0.0;515.0;0.0;16;5;3;5;92.424
scn_few-tight_seed5_P2_pl5.xlsx;soft;ok;optimal;1.154;;;605.177;90.177;0.0;0.0;;;0.0;515.0;0.0;16;5;3;5;92.424
scn_few-tight_seed5_P2_pl5.xlsx;medium;ok;optimal;1.026;;;605.177;90.177;0.0;0.0;0.0;;0.0;0.0;515.0;16;5;3;5;92.424
scn_few-tight_seed5_P2_pl5.xlsx;hard;ok;optimal;1.008;;;605.177;90.177;0.0;0.0;0.0;0.0;0.0;0.0;515.0;16;5;3;5;92.424
scn_few-tight_seed6_P2_pl5.xlsx;soft12;warning;infeasible;0.713;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;15;5;3;5;102.366
scn_few-tight_seed6_P2_pl5.xlsx;soft;warning;infeasible;0.744;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;15;5;3;5;102.366
scn_few-tight_seed6_P2_pl5.xlsx;medium;warning;infeasible;0.748;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;15;5;3;5;102.366
scn_few-tight_seed6_P2_pl5.xlsx;hard;warning;infeasible;0.702;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;5;3;5;102.366
scn_few-tight_seed7_P2_pl5.xlsx;soft12;ok;optimal;0.855;;;593.862;8.886.200.000.000.000;0.0;0.0;;;0.0;505.0;0.0;16;5;3;5;90.961
scn_few-tight_seed7_P2_pl5.xlsx;soft;ok;optimal;0.942;;;593.862;8.886.200.000.000.000;0.0;0.0;;;0.0;505.0;0.0;16;5;3;5;90.961
scn_few-tight_seed7_P2_pl5.xlsx;medium;ok;optimal;1.061;;;593.862;8.886.200.000.000.000;0.0;0.0;0.0;;0.0;0.0;505.0;16;5;3;5;90.961
scn_few-tight_seed7_P2_pl5.xlsx;hard;ok;optimal;0.892;;;593.862;8.886.200.000.000.000;0.0;0.0;0.0;0.0;0.0;0.0;505.0;16;5;3;5;90.961
scn_few-tight_seed8_P2_pl5.xlsx;soft12;warning;infeasible;0.799;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;16;5;3;5;98.785
scn_few-tight_seed8_P2_pl5.xlsx;soft;warning;infeasible;0.697;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;16;5;3;5;98.785
scn_few-tight_seed8_P2_pl5.xlsx;medium;warning;infeasible;0.725;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;16;5;3;5;98.785
scn_few-tight_seed8_P2_pl5.xlsx;hard;warning;infeasible;0.724;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;5;3;5;98.785
scn_few-tight_seed9_P2_pl5.xlsx;soft12;warning;infeasible;0.582;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;13;5;3;5;86.406
scn_few-tight_seed9_P2_pl5.xlsx;soft;warning;infeasible;0.586;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;13;5;3;5;86.406
scn_few-tight_seed9_P2_pl5.xlsx;medium;warning;infeasible;1.559;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;13;5;3;5;86.406
scn_few-tight_seed9_P2_pl5.xlsx;hard;warning;infeasible;0.708;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;5;3;5;86.406
scn_heavy-tight_seed1_P4_pl30.xlsx;soft12;warning;infeasible;22.074;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;95;30;8;5;202.482
scn_heavy-tight_seed1_P4_pl30.xlsx;soft;warning;infeasible;20.463;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;95;30;8;5;202.482
scn_heavy-tight_seed1_P4_pl30.xlsx;medium;warning;infeasible;25.952;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;95;30;8;5;202.482
scn_heavy-tight_seed1_P4_pl30.xlsx;hard;warning;infeasible;24.781;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95;30;8;5;202.482
scn_heavy-tight_seed2_P4_pl30.xlsx;soft12;warning;infeasible;20.817;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;92;30;8;5;201.798
scn_heavy-tight_seed2_P4_pl30.xlsx;soft;warning;infeasible;17.472;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;92;30;8;5;201.798
scn_heavy-tight_seed2_P4_pl30.xlsx;medium;warning;infeasible;21.621;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;92;30;8;5;201.798
scn_heavy-tight_seed2_P4_pl30.xlsx;hard;warning;infeasible;21.128;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92;30;8;5;201.798
scn_heavy-tight_seed3_P4_pl30.xlsx;soft12;warning;infeasible;15.914;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;86;30;8;5;193.856
scn_heavy-tight_seed3_P4_pl30.xlsx;soft;warning;infeasible;15.971;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;86;30;8;5;193.856
scn_heavy-tight_seed3_P4_pl30.xlsx;medium;warning;infeasible;19.134;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;86;30;8;5;193.856
scn_heavy-tight_seed3_P4_pl30.xlsx;hard;warning;infeasible;20.295;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86;30;8;5;193.856
scn_heavy-tight_seed4_P4_pl30.xlsx;soft12;warning;infeasible;16.551;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;86;30;8;5;198.971
scn_heavy-tight_seed4_P4_pl30.xlsx;soft;warning;infeasible;20.627;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;86;30;8;5;198.971
scn_heavy-tight_seed4_P4_pl30.xlsx;medium;warning;infeasible;25.582;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;86;30;8;5;198.971
scn_heavy-tight_seed4_P4_pl30.xlsx;hard;warning;infeasible;21.312;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86;30;8;5;198.971
